"Song Name","Released Dates"
"Best Hindi Motivational Poetry 2022",2022-03-07
"Temporary pyar",2021-09-04
"Distance Love",2021-10-08
"Mob N Love",2022-04-17
"Punjabi Valentine Mashup 2022",2022-02-14
"In Love Again",2021-02-19
"Silent Love",2022-01-02
"Ikk Munda 2 - Waiting For Love",2021-07-04
"I Need Love",2022-03-04
Darling,2021-11-19
"Romantic Love Mashup (Best of love music)",2022-08-07
"Romantic Rewind",2022-02-09
"Bewafai Kar Gaya - From "Lekh"""",2022-03-20
"Pehla Valentine",2021-04-30
"Valentine Mashup 2022",2022-02-14
"Love Like Me",2021-03-22
Beliya,2022-03-25
Soulmate,2021-09-07
"Pyar Karda - From "Lover"""",2022-05-26
"Marke - From "Lover"""",2022-06-27
"Love Mix Remix Mashup",2022-04-09
"The Ultimate Love Mashup - DJ Kiran Kamath",2022-02-08
"Bewafai Kar Gaya",2022-03-25
Chaal,2021-01-06
"Love Forever",2021-11-24
"Fuck Love",2022-03-15
Paagla,2021-06-26
Kasam,2022-06-29
"Best Hindi Motivational Poetry 2022",2022-03-07
"Temporary pyar",2021-09-04
"Mob N Love",2022-04-17
"Punjabi Valentine Mashup 2022",2022-02-14
"In Love Again",2021-02-19
"Silent Love",2022-01-02
"Ikk Munda 2 - Waiting For Love",2021-07-04
"I Need Love",2022-03-04
Darling,2021-11-19
"Romantic Love Mashup (Best of love music)",2022-08-07
"Romantic Rewind",2022-02-09
"Bewafai Kar Gaya - From "Lekh"""",2022-03-20
"Pehla Valentine",2021-04-30
"Valentine Mashup 2022",2022-02-14
"Love Like Me",2021-03-22
Beliya,2022-03-25
Soulmate,2021-09-07
"Pyar Karda - From "Lover"""",2022-05-26
"Marke - From "Lover"""",2022-06-27
"Love Mix Remix Mashup",2022-04-09
"The Ultimate Love Mashup - DJ Kiran Kamath",2022-02-08
"Bewafai Kar Gaya",2022-03-25
Chaal,2021-01-06
"Love Forever",2021-11-24
"Fuck Love",2022-03-15
Paagla,2021-06-26
